Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_026559775.1	Bacillus anthracis	1392	BA755	Complete Genome	haploid	2
GCF_026559795.1	Bacillus anthracis	1392	DP-B-5747	Complete Genome	haploid	2
GCF_029636405.1	Bacillus anthracis	1392	AN17-384_2	Complete Genome	haploid	3
GCF_029636605.1	Bacillus anthracis	1392	AN18-416_2	Complete Genome	haploid	3
GCF_029636705.1	Bacillus anthracis	1392	AN17-14_S4	Complete Genome	haploid	3
GCF_030166675.1	Bacillus anthracis	1392	BHY1401	Complete Genome	haploid	3
GCF_030166975.1	Bacillus anthracis	1392	Mn106-1 head2 chi	Complete Genome	haploid	3
GCF_036884865.1	Bacillus anthracis	1392	CVCC40205	Complete Genome	haploid	2
GCF_036884935.1	Bacillus anthracis	1392	CVCC40202	Complete Genome	haploid	3
GCF_039637115.1	Bacillus anthracis	1392	Sterne-CLR2-46	Complete Genome	haploid	2
GCF_039637345.1	Bacillus anthracis	1392	Sterne-CLR2-13	Complete Genome	haploid	2
GCF_039639755.1	Bacillus anthracis	1392	Sterne-CLR2-11	Complete Genome	haploid	2
GCF_039639765.1	Bacillus anthracis	1392	Sterne-CLR1-32	Complete Genome	haploid	2
GCF_039639775.1	Bacillus anthracis	1392	Sterne-CLR1-2	Complete Genome	haploid	2
GCF_039639785.1	Bacillus anthracis	1392	Sterne-CLR1-12	Complete Genome	haploid	2
GCF_000008445.1	Bacillus anthracis str. 'Ames Ancestor'	261594	Ames Ancestor; A2084	Complete Genome	haploid	3
GCF_000022865.1	Bacillus anthracis str. A0248	592021	A0248	Complete Genome	haploid	3
GCF_000512835.2	Bacillus anthracis str. A16	743835	A16	Complete Genome	haploid	3
GCF_000512775.2	Bacillus anthracis str. A16R	673518	A16R	Complete Genome	haploid	2
GCF_000007845.1	Bacillus anthracis str. Ames	198094	Ames	Complete Genome	haploid	1
GCF_000295695.2	Bacillus anthracis str. BF1	1213182	BF1	Complete Genome	haploid	3
GCF_022221085.1	Bacillus anthracis str. BF1	1213182	BF1	Complete Genome	haploid	3
GCF_000021445.1	Bacillus anthracis str. CDC 684	568206	CDC 684	Complete Genome	haploid	3
GCF_000258885.1	Bacillus anthracis str. H9401	768494	H9401	Complete Genome	haploid	3
GCF_000008165.1	Bacillus anthracis str. Sterne	260799	Sterne	Complete Genome	haploid	1
GCF_000832635.1	Bacillus anthracis str. Sterne	260799	Sterne	Complete Genome	haploid	2
GCF_000583105.1	Bacillus anthracis str. SVA11	1392837	SVA11	Complete Genome	haploid	3
GCF_000833275.1	Bacillus anthracis str. Turkey32	1452727	35	Complete Genome	haploid	3
GCF_000832785.1	Bacillus anthracis str. V770-NP-1R	1449979	V770-NP-1R	Complete Genome	haploid	2
GCF_000742895.1	Bacillus anthracis str. Vollum	261591	Vollum	Complete Genome	haploid	3
GCF_019915265.1	Bacillus aquiflavi	2672567	3H-10	Complete Genome	haploid	1
GCF_030285945.1	Bacillus arachidis	2819290	YX15	Complete Genome	haploid	4
GCF_002173495.1	Bacillus atrophaeus	1452	SRCM101359	Complete Genome	haploid	1
GCF_002243495.1	Bacillus atrophaeus	1452	GQJK17	Complete Genome	haploid	1
GCF_018140555.1	Bacillus atrophaeus	1452	CNY01	Complete Genome	haploid	1
GCF_019443725.1	Bacillus atrophaeus	1452	PENSV20	Complete Genome	haploid	1
GCF_024757965.1	Bacillus atrophaeus	1452	NS2	Complete Genome	haploid	1
GCF_029541525.1	Bacillus atrophaeus	1452		Complete Genome	haploid	1
GCF_029581095.1	Bacillus atrophaeus	1452	MBLB1156	Complete Genome	haploid	1
GCF_032460565.1	Bacillus atrophaeus	1452	CD303	Complete Genome	haploid	1
GCF_037997125.1	Bacillus atrophaeus	1452	TL401	Complete Genome	haploid	1
GCF_039519175.1	Bacillus atrophaeus	1452	SW	Complete Genome	haploid	2
GCF_000165925.1	Bacillus atrophaeus 1942	720555	1942	Complete Genome	haploid	1
GCF_020002245.1	Bacillus badius	1455	NBPM-293	Complete Genome	haploid	7
GCF_023824075.1	Bacillus bombysepticus	658666	F12	Complete Genome	haploid	3
GCF_000831065.1	Bacillus bombysepticus str. Wang	1330043	wang	Complete Genome	haploid	2
GCF_004124315.2	Bacillus cabrialesii	2487276	TE3	Complete Genome	haploid	1
GCF_020524035.2	Bacillus carboniphilus	86663	SaN35-3	Complete Genome	haploid	3
GCF_002220285.1	Bacillus cereus	1396	FORC_047	Complete Genome	haploid	3
GCF_000635895.2	Bacillus cereus	1396	A1	Complete Genome	haploid	4
GCF_000832765.1	Bacillus cereus	1396	3a	Complete Genome	haploid	4
GCF_000835185.1	Bacillus cereus	1396	S2-8	Complete Genome	haploid	4
GCF_000978375.1	Bacillus cereus	1396	FORC_005	Complete Genome	haploid	1
GCF_001277915.1	Bacillus cereus	1396	NJ-W	Complete Genome	haploid	4
GCF_001518875.1	Bacillus cereus	1396	FORC_013	Complete Genome	haploid	2
GCF_001635915.1	Bacillus cereus	1396	CMCC P0021	Complete Genome	haploid	2
GCF_001635955.1	Bacillus cereus	1396	CMCC P0011	Complete Genome	haploid	2
GCF_001635995.1	Bacillus cereus	1396	HN001	Complete Genome	haploid	3
GCF_001721145.1	Bacillus cereus	1396	FORC_024	Complete Genome	haploid	1
GCF_001941885.1	Bacillus cereus	1396	ISSFR-9F	Complete Genome	haploid	2
GCF_001941905.1	Bacillus cereus	1396	ISSFR-3F	Complete Genome	haploid	2
GCF_001941925.1	Bacillus cereus	1396	JEM-2	Complete Genome	haploid	2
GCF_002000005.1	Bacillus cereus	1396	FORC021	Complete Genome	haploid	2
GCF_002214705.1	Bacillus cereus	1396	D12_2	Complete Genome	haploid	1
GCF_002214765.1	Bacillus cereus	1396	FORC_048	Complete Genome	haploid	1
GCF_002215175.1	Bacillus cereus	1396	K8	Complete Genome	haploid	3
GCF_002216125.1	Bacillus cereus	1396	M13	Complete Genome	haploid	4
GCF_002813875.1	Bacillus cereus	1396	MLY1	Complete Genome	haploid	4
GCF_003013315.1	Bacillus cereus	1396	TG1-6	Complete Genome	haploid	2
GCF_003020845.1	Bacillus cereus	1396	FORC60	Complete Genome	haploid	1
GCF_003568565.1	Bacillus cereus	1396	HBL-AI	Complete Genome	haploid	2
GCF_004006495.1	Bacillus cereus	1396	ZB201708	Complete Genome	haploid	1
GCF_004771155.1	Bacillus cereus	1396	1000305	Complete Genome	haploid	1
GCF_004801195.1	Bacillus cereus	1396	MH19	Complete Genome	haploid	1
GCF_005707595.1	Bacillus cereus	1396	FORC_086	Complete Genome	haploid	1
GCF_006349715.2	Bacillus cereus	1396	A22	Complete Genome	haploid	3
GCF_006349735.2	Bacillus cereus	1396	A24	Complete Genome	haploid	3
GCF_006384875.1	Bacillus cereus	1396	FORC087	Complete Genome	haploid	4
GCF_008041975.1	Bacillus cereus	1396	G1-1	Complete Genome	haploid	2
GCF_009497015.2	Bacillus cereus	1396	SB1	Complete Genome	haploid	5
GCF_009739925.1	Bacillus cereus	1396	DLOU-Changhai	Complete Genome	haploid	2
GCF_009739965.1	Bacillus cereus	1396	DLOU-Tangshan	Complete Genome	haploid	2
GCF_009739985.1	Bacillus cereus	1396	DLOU-Weihai	Complete Genome	haploid	2
GCF_013112375.1	Bacillus cereus	1396	WPySW2	Complete Genome	haploid	2
GCF_013177495.2	Bacillus cereus	1396	CTMA_1571	Complete Genome	haploid	3
GCF_013267235.1	Bacillus cereus	1396	FDAARGOS_802	Complete Genome	haploid	8
GCF_013267255.1	Bacillus cereus	1396	FDAARGOS_799	Complete Genome	haploid	3
GCF_013267275.1	Bacillus cereus	1396	FDAARGOS_798	Complete Genome	haploid	3
GCF_013267455.1	Bacillus cereus	1396	FDAARGOS_781	Complete Genome	haploid	4
GCF_013267475.1	Bacillus cereus	1396	FDAARGOS_780	Complete Genome	haploid	4
GCF_013267775.1	Bacillus cereus	1396	FDAARGOS_797	Complete Genome	haploid	2
GCF_013284455.2	Bacillus cereus	1396	HD2.4	Complete Genome	haploid	4
GCF_013284505.2	Bacillus cereus	1396	HD1.4B	Complete Genome	haploid	4
GCF_013394245.1	Bacillus cereus	1396	H2	Complete Genome	haploid	3
GCF_016027015.1	Bacillus cereus	1396	FDAARGOS_918	Complete Genome	haploid	2
GCF_016727405.1	Bacillus cereus	1396	FDAARGOS_1084	Complete Genome	haploid	1
GCF_016774535.1	Bacillus cereus	1396	CH	Complete Genome	haploid	2
GCF_016774555.1	Bacillus cereus	1396	21155	Complete Genome	haploid	5
GCF_016774575.1	Bacillus cereus	1396	AFA01	Complete Genome	haploid	5
GCF_016917795.1	Bacillus cereus	1396	VKM B-370	Complete Genome	haploid	4
GCF_018309125.1	Bacillus cereus	1396	BC06	Complete Genome	haploid	3
GCF_018309145.1	Bacillus cereus	1396	BC07	Complete Genome	haploid	5
GCF_018309165.1	Bacillus cereus	1396	BC33	Complete Genome	haploid	4
GCF_018884185.1	Bacillus cereus	1396	CF4-51	Complete Genome	haploid	4
GCF_019704155.2	Bacillus cereus	1396	HT18	Complete Genome	haploid	6
GCF_021391515.1	Bacillus cereus	1396	CPT56D-587-MTF	Complete Genome	haploid	9
GCF_021442085.1	Bacillus cereus	1396	NR1	Complete Genome	haploid	2
GCF_021654875.1	Bacillus cereus	1396	MRY14-0045	Complete Genome	haploid	2
GCF_021654895.1	Bacillus cereus	1396	MRY14-0057	Complete Genome	haploid	3
GCF_021654915.1	Bacillus cereus	1396	MRY14-0060	Complete Genome	haploid	9
GCF_021654935.1	Bacillus cereus	1396	MRY14-0074	Complete Genome	haploid	8
GCF_021654975.1	Bacillus cereus	1396	MRY14-0079	Complete Genome	haploid	4
GCF_021654995.1	Bacillus cereus	1396	MRY14-0100	Complete Genome	haploid	8
GCF_021655015.1	Bacillus cereus	1396	MRY14-0105	Complete Genome	haploid	6
GCF_021655035.1	Bacillus cereus	1396	J1	Complete Genome	haploid	6
GCF_021655055.1	Bacillus cereus	1396	J2	Complete Genome	haploid	7
GCF_021655135.1	Bacillus cereus	1396	J7	Complete Genome	haploid	12
GCF_021655155.1	Bacillus cereus	1396	J10	Complete Genome	haploid	6
GCF_021655175.1	Bacillus cereus	1396	J39	Complete Genome	haploid	4
GCF_021655195.1	Bacillus cereus	1396	J51	Complete Genome	haploid	8
GCF_021655215.1	Bacillus cereus	1396	J62	Complete Genome	haploid	6
GCF_021655235.1	Bacillus cereus	1396	J75	Complete Genome	haploid	5
GCF_021655255.1	Bacillus cereus	1396	30040	Complete Genome	haploid	3
GCF_021655275.1	Bacillus cereus	1396	30043	Complete Genome	haploid	3
GCF_021655295.1	Bacillus cereus	1396	30048	Complete Genome	haploid	5
GCF_021655315.1	Bacillus cereus	1396	30052	Complete Genome	haploid	8
GCF_021655335.1	Bacillus cereus	1396	30075	Complete Genome	haploid	6
GCF_021655355.1	Bacillus cereus	1396	30077	Complete Genome	haploid	5
GCF_022699365.1	Bacillus cereus	1396	AH7-7	Complete Genome	haploid	2
GCF_022700995.1	Bacillus cereus	1396	N435-1	Complete Genome	haploid	4
GCF_023008425.1	Bacillus cereus	1396	SEM-15	Complete Genome	haploid	5
GCF_023094015.1	Bacillus cereus	1396	CDHWZ7	Complete Genome	haploid	3
GCF_023516415.1	Bacillus cereus	1396	DQ01	Complete Genome	haploid	3
GCF_024299105.1	Bacillus cereus	1396	MB1	Complete Genome	haploid	3
GCF_024498915.1	Bacillus cereus	1396	GSICC 30237	Complete Genome	haploid	4
GCF_024584625.1	Bacillus cereus	1396	C-1	Complete Genome	haploid	2
GCF_025035865.1	Bacillus cereus	1396	FORC_010	Complete Genome	haploid	2
GCF_025502485.1	Bacillus cereus	1396	SRCM116293	Complete Genome	haploid	3
GCF_025917685.1	Bacillus cereus	1396	PT1	Complete Genome	haploid	1
GCF_025946485.2	Bacillus cereus	1396	BC38B	Complete Genome	haploid	2
GCF_026684175.1	Bacillus cereus	1396	NW6	Complete Genome	haploid	3
GCF_027625975.1	Bacillus cereus	1396	BC-01	Complete Genome	haploid	3
GCF_027920485.1	Bacillus cereus	1396	PL22-16A	Complete Genome	haploid	1
GCF_028607045.1	Bacillus cereus	1396	2-6A	Complete Genome	haploid	3
GCF_029201265.1	Bacillus cereus	1396	M72-4	Complete Genome	haploid	1
GCF_029590375.1	Bacillus cereus	1396	SCBCM001	Complete Genome	haploid	7
GCF_030064245.1	Bacillus cereus	1396	IBA1	Complete Genome	haploid	1
GCF_030067855.1	Bacillus cereus	1396	FFI_gr_46	Complete Genome	haploid	3
GCF_030067875.1	Bacillus cereus	1396	FFI_gr_36	Complete Genome	haploid	2
GCF_030291955.1	Bacillus cereus	1396	D5_B_69	Complete Genome	haploid	3
GCF_030406205.1	Bacillus cereus	1396	lycx	Complete Genome	haploid	2
GCF_030517775.1	Bacillus cereus	1396	Z4	Complete Genome	haploid	6
GCF_030518615.1	Bacillus cereus	1396	DW444	Complete Genome	haploid	4
GCF_031216075.1	Bacillus cereus	1396	MO2	Complete Genome	haploid	6
GCF_031325985.1	Bacillus cereus	1396	B6	Complete Genome	haploid	4
GCF_032145515.1	Bacillus cereus	1396	B126_1	Complete Genome	haploid	3
GCF_032595315.1	Bacillus cereus	1396	T	Complete Genome	haploid	1
GCF_033452345.1	Bacillus cereus	1396	GUCC 3	Complete Genome	haploid	5
GCF_034078685.1	Bacillus cereus	1396	A01	Complete Genome	haploid	2
GCF_040210495.1	Bacillus cereus	1396	B9	Complete Genome	haploid	5
GCF_040268315.1	Bacillus cereus	1396	NBNZ-2162	Complete Genome	haploid	2
GCF_000022505.1	Bacillus cereus 03BB102	572264	03BB102	Complete Genome	haploid	2
GCF_000832405.1	Bacillus cereus 03BB102	572264	03BB102	Complete Genome	haploid	2
GCF_000832865.1	Bacillus cereus 03BB108	451709	03BB108	Complete Genome	haploid	8
GCF_000021785.1	Bacillus cereus AH820	405535	AH820	Complete Genome	haploid	4
GCF_000007825.1	Bacillus cereus ATCC 14579	226900	ATCC 14579	Complete Genome	haploid	2
GCF_006094295.1	Bacillus cereus ATCC 14579	226900	ATCC 14579	Complete Genome	haploid	2
GCF_000021205.1	Bacillus cereus B4264	405532	B4264	Complete Genome	haploid	1
GCF_000143605.1	Bacillus cereus biovar anthracis str. CI	637380	CI	Complete Genome	haploid	4
GCF_002224345.1	Bacillus cereus C1L	1003239	C1L	Complete Genome	haploid	4
GCF_000832385.1	Bacillus cereus D17	1454382	D17	Complete Genome	haploid	2
GCF_000011625.1	Bacillus cereus E33L	288681	E33L	Complete Genome	haploid	6
GCF_000833045.1	Bacillus cereus E33L	288681	E33L	Complete Genome	haploid	6
GCF_000239195.1	Bacillus cereus F837/76	347495	F837/76	Complete Genome	haploid	3
GCF_000021305.1	Bacillus cereus G9842	405531	G9842	Complete Genome	haploid	3
GCF_040448665.1	Bacillus cereus group sp. MS39	3041344	MS39	Complete Genome	haploid	1
GCF_002250945.2	Bacillus cytotoxicus	580165	CH_13	Complete Genome	haploid	2
GCF_002250885.2	Bacillus cytotoxicus	580165	CH_38	Complete Genome	haploid	3
GCF_002250905.2	Bacillus cytotoxicus	580165	CH_25	Complete Genome	haploid	3
GCF_002250925.2	Bacillus cytotoxicus	580165	CH_23	Complete Genome	haploid	3
GCF_002250965.2	Bacillus cytotoxicus	580165	CH_4	Complete Genome	haploid	2
GCF_002251005.2	Bacillus cytotoxicus	580165	CH_39	Complete Genome	haploid	2
GCF_002251025.2	Bacillus cytotoxicus	580165	CH_15	Complete Genome	haploid	2
GCF_002251045.2	Bacillus cytotoxicus	580165	CH_2	Complete Genome	haploid	3
GCF_002251055.2	Bacillus cytotoxicus	580165	CH_1	Complete Genome	haploid	4
GCF_002251115.2	Bacillus cytotoxicus	580165	CH_3	Complete Genome	haploid	3
GCF_017909015.1	Bacillus cytotoxicus	580165	SM2.8	Complete Genome	haploid	3
GCF_017909135.1	Bacillus cytotoxicus	580165	SM1.1	Complete Genome	haploid	5
GCF_017909235.1	Bacillus cytotoxicus	580165	PDT2.12	Complete Genome	haploid	2
GCF_017909295.1	Bacillus cytotoxicus	580165	E28.3	Complete Genome	haploid	5
GCF_017909395.1	Bacillus cytotoxicus	580165	E17.4	Complete Genome	haploid	2
GCF_017909435.1	Bacillus cytotoxicus	580165	E8.1	Complete Genome	haploid	3
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98	315749	NVH 391-98	Complete Genome	haploid	2
GCF_012955605.1	Bacillus fonticola	2728853	CS13	Complete Genome	haploid	1
GCF_004103615.1	Bacillus glycinifermentans	1664069	SRCM103574	Complete Genome	haploid	2
GCF_002443095.1	Bacillus glycinifermentans	1664069	KBN06P03352	Complete Genome	haploid	1
GCF_023022945.1	Bacillus glycinifermentans	1664069	MGMM1	Complete Genome	haploid	1
GCF_030418985.1	Bacillus glycinifermentans	1664069	SRCM12603	Complete Genome	haploid	1
GCF_900093775.1	Bacillus glycinifermentans	1664069		Complete Genome	haploid	1
GCF_004006435.1	Bacillus halotolerans	260554	ZB201702	Complete Genome	haploid	1
GCF_013347105.1	Bacillus halotolerans	260554	KKD1	Complete Genome	haploid	1
GCF_014621755.1	Bacillus halotolerans	260554	XH-1	Complete Genome	haploid	1
GCF_018417515.1	Bacillus halotolerans	260554	MBH1	Complete Genome	haploid	1
GCF_024266605.1	Bacillus halotolerans	260554	MEC_B301	Complete Genome	haploid	1
GCF_024266645.1	Bacillus halotolerans	260554	MEC_B334	Complete Genome	haploid	1
GCF_024510645.1	Bacillus halotolerans	260554	S-5	Complete Genome	haploid	1
GCF_025809355.1	Bacillus halotolerans	260554	XE48	Complete Genome	haploid	1
GCF_026013885.1	Bacillus halotolerans	260554	HMB20199	Complete Genome	haploid	1
GCF_026967595.1	Bacillus halotolerans	260554	B13	Complete Genome	haploid	2
GCF_030123205.1	Bacillus halotolerans	260554	LN2	Complete Genome	haploid	1
GCF_030167075.1	Bacillus halotolerans	260554	Tehuacan_S4	Complete Genome	haploid	1
GCF_030292055.1	Bacillus halotolerans	260554	KF17	Complete Genome	haploid	2
GCF_032763365.1	Bacillus halotolerans	260554	Q2H2	Complete Genome	haploid	1
GCF_033568485.1	Bacillus halotolerans	260554	DY299	Complete Genome	haploid	1
GCF_014042035.1	Bacillus haynesii	1925021	P19	Complete Genome	haploid	1
GCF_023238325.1	Bacillus inaquosorum	483913	A65.1	Complete Genome	haploid	1
GCF_003148415.1	Bacillus inaquosorum	483913	KCTC 13429	Complete Genome	haploid	1
GCF_029948165.1	Bacillus inaquosorum	483913	M3	Complete Genome	haploid	1
GCF_030128945.2	Bacillus inaquosorum	483913	LBA001	Complete Genome	haploid	1
GCF_030177695.1	Bacillus inaquosorum	483913	BSY82	Complete Genome	haploid	1
GCF_032463625.1	Bacillus inaquosorum	483913	SI3	Complete Genome	haploid	1
GCF_035320845.1	Bacillus inaquosorum	483913	BIM B-2002	Complete Genome	haploid	1
GCF_000473245.1	Bacillus infantis NRRL B-14911	1367477	NRRL B-14911	Complete Genome	haploid	1
GCF_002074095.1	Bacillus licheniformis	1402	SCDB 14	Complete Genome	haploid	2
GCF_001596055.1	Bacillus licheniformis	1402	HRBL-15TDI7	Complete Genome	haploid	1
GCF_001726125.1	Bacillus licheniformis	1402	BL1202	Complete Genome	haploid	1
GCF_002074075.1	Bacillus licheniformis	1402	SCK B11	Complete Genome	haploid	1
GCF_002074115.1	Bacillus licheniformis	1402	SCDB 34	Complete Genome	haploid	1
GCF_002074135.1	Bacillus licheniformis	1402	SCCB 37	Complete Genome	haploid	1
GCF_002173675.1	Bacillus licheniformis	1402	SRCM100141	Complete Genome	haploid	3
GCF_002174255.1	Bacillus licheniformis	1402	SRCM100027	Complete Genome	haploid	3
GCF_002236895.1	Bacillus licheniformis	1402	BL-010	Complete Genome	haploid	1
GCF_002504325.1	Bacillus licheniformis	1402	ATCC 9789	Complete Genome	haploid	1
GCF_002966955.1	Bacillus licheniformis	1402	14ADL4	Complete Genome	haploid	1
GCF_003253815.1	Bacillus licheniformis	1402	CBA7132	Complete Genome	haploid	1
GCF_003339545.1	Bacillus licheniformis	1402	0DA23-1	Complete Genome	haploid	1
GCF_003595625.1	Bacillus licheniformis	1402	TAB7	Complete Genome	haploid	3
GCF_003606405.1	Bacillus licheniformis	1402	MT-B06	Complete Genome	haploid	2
GCF_003952865.1	Bacillus licheniformis	1402	PB3	Complete Genome	haploid	1
GCF_004101525.1	Bacillus licheniformis	1402	SRCM103914	Complete Genome	haploid	3
GCF_004103575.1	Bacillus licheniformis	1402	SRCM103529	Complete Genome	haploid	2
GCF_004119755.1	Bacillus licheniformis	1402	SRCM103583	Complete Genome	haploid	1
GCF_004119795.1	Bacillus licheniformis	1402	SRCM103608	Complete Genome	haploid	1
GCF_004526275.1	Bacillus licheniformis	1402	MCC 2514	Complete Genome	haploid	1
GCF_006094335.1	Bacillus licheniformis	1402	ATCC 14580	Complete Genome	haploid	1
GCF_006494795.1	Bacillus licheniformis	1402	CSL2	Complete Genome	haploid	1
GCF_006974025.1	Bacillus licheniformis	1402	TCCC 11148	Complete Genome	haploid	1
GCF_007855455.1	Bacillus licheniformis	1402	KNU11	Complete Genome	haploid	1
GCF_009662395.1	Bacillus licheniformis	1402	P8_B2	Complete Genome	haploid	2
GCF_015689075.1	Bacillus licheniformis	1402	LCDD6	Complete Genome	haploid	1
GCF_016026835.1	Bacillus licheniformis	1402	FDAARGOS_923	Complete Genome	haploid	5
GCF_016126875.1	Bacillus licheniformis	1402	H2	Complete Genome	haploid	3
GCF_017338795.1	Bacillus licheniformis	1402	CP6	Complete Genome	haploid	1
GCF_022630555.1	Bacillus licheniformis	1402	DSM 13	Complete Genome	haploid	1
GCF_022700915.1	Bacillus licheniformis	1402	C5	Complete Genome	haploid	1
GCF_028532465.1	Bacillus licheniformis	1402	GN02	Complete Genome	haploid	1
GCF_030177855.1	Bacillus licheniformis	1402	CQMB003	Complete Genome	haploid	1
GCF_030284405.1	Bacillus licheniformis	1402	Jrh14-10	Complete Genome	haploid	1
GCF_030520185.1	Bacillus licheniformis	1402	MGMM9	Complete Genome	haploid	1
GCF_034478925.1	Bacillus licheniformis	1402	ATCC 14580	Complete Genome	haploid	1
GCF_036419095.1	Bacillus licheniformis	1402	FUA2151	Complete Genome	haploid	1
GCF_036700005.1	Bacillus licheniformis	1402		Complete Genome	haploid	1
GCF_036700035.1	Bacillus licheniformis	1402		Complete Genome	haploid	1
GCF_039619455.1	Bacillus licheniformis	1402	FUA2146	Complete Genome	haploid	2
GCF_902386215.1	Bacillus licheniformis	1402		Complete Genome	haploid	1
GCF_000008425.1	Bacillus licheniformis DSM 13 = ATCC 14580	279010	DSM 13	Complete Genome	haploid	1
GCF_000011645.1	Bacillus licheniformis DSM 13 = ATCC 14580	279010	ATCC 14580; DSM 13	Complete Genome	haploid	1
GCF_009739945.1	Bacillus luti	2026191	FJ	Complete Genome	haploid	4
GCF_023278615.1	Bacillus methanolicus	1471	DFS2	Complete Genome	haploid	2
GCF_000724485.1	Bacillus methanolicus MGA3	796606	MGA3	Complete Genome	haploid	3
GCF_012648005.1	Bacillus mojavensis	72360	UCMB5075	Complete Genome	haploid	1
